account_id,account_name,segment,industry,region,signup_date,contract_start_date,contract_end_date,billing_term,contract_value,seats_licensed,seats_active,mau_m5,mau_m4,mau_m3,mau_m2,mau_m1,mau_m0,support_tickets_90d,escalations_90d,last_login_date,csat,data_quality_flag,customer_tenure_days,seat_utilization,annual_contract_value,avg_mau,usage_trend,days_to_renewal,high_support,has_escalation,seat_score,csat_missing,csat_score,mau_score,usage_score,support_score,escalation_score,revenue_score,renewal_score,customer_health_score,customer_status,priority_score,priority_rank
ACC-1185,Xenon Health,Mid-Market,Education,North America,2025-05-20,2025-05-20,2026-03-29,annual,128042.63,197,84,45,44,43,0,0,0,6,2,2025-11-16,3.7,0,377,42.63959390862944,128042.63,22.0,-45,-64.0,0,1,0,1,15,15,0,7,4,20,5,66,At Risk,42.5,33
ACC-1054,Pioneer Dynamics,SMB,Logistics,North America,2026-03-15,2026-03-15,2026-09-17,annual,3242.97,13,7,2,2,3,3,3,3,9,3,2026-05-23,3.7,0,78,53.84615384615385,3242.97,2.6666666666666665,1,108.0,0,1,10,1,15,0,10,4,0,5,20,64,At Risk,42.0,34
ACC-1415,Crestline Technologies,SMB,Media,North America,2025-04-21,2025-04-21,2028-01-24,annual,5899.35,12,5,4,4,4,3,3,3,5,0,2026-05-25,3.7,0,406,41.66666666666667,5899.35,3.5,-1,602.0,0,0,0,1,15,0,5,7,10,10,20,67,At Risk,42.0,35
ACC-1244,Juniper Dynamics,SMB,Retail,EMEA,2025-02-02,2025-02-02,2027-08-11,annual,3092.28,16,7,2,2,2,3,3,4,4,1,2026-05-24,3.7,0,484,43.75,3092.28,2.6666666666666665,2,436.0,0,1,0,1,15,0,10,7,7,5,20,64,At Risk,42.0,36
ACC-1177,Fjord Trading,SMB,Hospitality,North America,2025-12-20,2025-12-20,2027-04-05,annual,8571.7,28,10,4,4,3,2,1,1,4,0,2026-06-01,3.8,0,163,35.714285714285715,8571.7,2.5,-3,308.0,0,0,0,0,15,0,5,7,10,10,20,67,At Risk,42.0,37
ACC-1259,Redwood Brands,SMB,Construction,APAC,2023-12-22,2023-12-22,2026-07-16,annual,1831.39,6,2,1,0,1,0,1,1,1,0,2026-05-30,3.7,0,892,33.33333333333333,1831.39,0.6666666666666666,0,45.0,0,0,0,1,15,0,10,10,10,5,10,60,At Risk,42.0,38
ACC-1111,Vertex Media,SMB,FinServ,North America,2022-08-13,2022-08-13,2026-10-21,annual,3585.61,18,9,2,3,3,4,4,4,4,0,2026-05-21,2.6,0,1388,50.0,3585.61,3.333333333333333,2,142.0,0,0,10,0,0,0,10,7,10,10,20,67,At Risk,42.0,39
ACC-1112,Larkfield Group,SMB,Education,North America,2022-10-13,2022-10-13,2027-05-07,annual,7481.49,25,11,9,8,6,5,3,2,9,2,2026-05-30,3.7,0,1327,44.0,7481.49,5.5,-7,340.0,0,1,0,1,15,10,5,4,4,10,20,68,At Risk,41.5,40
ACC-1162,Ember Works,Enterprise,Media,North America,2025-06-16,2025-06-16,2025-11-23,annual,455119.31,1146,521,457,496,448,0,0,0,9,2,2025-12-14,3.7,0,350,45.46247818499127,455119.31,233.5,-457,-190.0,0,1,0,1,15,20,0,4,4,20,5,68,At Risk,41.5,41
ACC-1094,Maple Brands,SMB,Manufacturing,APAC,2023-07-10,2023-07-10,2026-09-28,monthly,384.75,25,14,12,9,8,6,4,0,2,0,2026-05-26,2.8,0,1057,56.00000000000001,384.75,6.5,-12,119.0,0,0,10,0,0,10,0,10,10,5,20,65,At Risk,41.5,42
ACC-1357,Xenon Holdings,SMB,Hospitality,EMEA,2023-05-04,2023-05-04,2026-06-01,annual,2174.97,8,5,2,2,2,1,1,0,1,0,2026-04-11,4.1,0,1124,62.5,2174.97,1.3333333333333333,-2,0.0,0,0,10,0,15,0,5,10,10,5,5,60,At Risk,41.0,43
ACC-1318,Keystone Group,Enterprise,SaaS,EMEA,2024-06-04,2024-06-04,2026-08-08,monthly,-4500.0,549,196,165,148,120,92,67,42,5,1,2026-05-15,3.4,0,727,35.701275045537336,-4500.0,105.66666666666669,-123,68.0,0,1,0,0,10,20,0,7,7,5,15,64,At Risk,41.0,44
ACC-1022,Cedar Technologies,SMB,Manufacturing,North America,2024-08-25,2024-08-25,2026-07-16,annual,1799.08,9,5,4,3,3,3,4,3,6,0,2026-05-23,3.7,0,645,55.55555555555556,1799.08,3.333333333333333,-1,45.0,0,0,10,1,15,0,5,7,10,5,10,62,At Risk,41.0,45
ACC-1264,Yarrow Networks,SMB,Media,North America,2024-11-26,2024-11-26,2026-08-11,annual,6094.55,12,8,5,5,4,3,2,1,6,3,2026-05-29,4.7,0,552,66.66666666666666,6094.55,3.333333333333333,-4,71.0,0,1,10,0,20,0,5,7,0,10,15,67,At Risk,41.0,46
ACC-1070,Northwind Labs,Mid-Market,Manufacturing,EMEA,2023-05-03,2023-05-03,2026-09-09,annual,100501.32,140,57,52,45,37,30,19,14,0,0,2026-05-27,3.0,0,1125,40.71428571428572,100501.32,32.833333333333336,-38,100.0,0,0,0,0,0,15,0,10,10,20,20,75,Monitor,41.0,47
ACC-1223,Quantum Holdings,SMB,Education,North America,2024-11-23,2024-11-23,2026-11-04,annual,5499.06,14,5,2,2,3,3,3,3,6,1,2026-05-28,4.0,0,555,35.714285714285715,5499.06,2.6666666666666665,1,156.0,0,1,0,0,15,0,10,7,7,10,20,69,At Risk,41.0,48
ACC-1410,Vista Corp,Mid-Market,FinServ,North America,2023-04-19,2023-04-19,2026-06-15,monthly,1462.03,49,22,14,11,10,7,6,3,1,0,2026-05-13,4.7,0,1139,44.89795918367347,1462.03,8.5,-11,14.0,0,0,0,0,20,10,0,10,10,5,5,60,At Risk,41.0,49
ACC-1230,Pinnacle Supply,,SaaS,North America,2024-06-05,2024-06-05,2026-01-21,monthly,3875.0,90,51,22,26,29,0,0,0,4,1,2025-12-14,3.7,0,726,56.66666666666666,3875.0,12.833333333333334,-22,-131.0,0,1,10,1,15,10,0,7,7,10,5,64,At Risk,40.5,50
ACC-1283,Fjord Corp,SMB,Media,EMEA,2024-03-25,2024-03-25,2027-01-29,annual,4537.32,24,9,6,5,3,3,2,1,2,0,2026-05-21,3.7,0,798,37.5,4537.32,3.333333333333333,-5,242.0,0,0,0,1,15,0,5,10,10,10,20,70,Monitor,40.5,51
ACC-1391,Willow Partners,Mid-Market,FinServ,APAC,2023-10-24,2023-10-24,2026-04-20,annual,70580.48,237,98,51,51,36,27,23,0,3,1,2026-05-27,3.7,0,951,41.35021097046413,70580.48,31.33333333333333,-51,-42.0,0,1,0,1,15,15,0,10,7,15,5,67,At Risk,40.5,52
ACC-1313,Orion Technologies,Mid-Market,Healthcare,North America,2026-04-27,2026-04-27,2026-07-30,annual,136417.08,203,97,5,6,1,5,3,6,3,1,2026-05-16,3.7,0,35,47.783251231527096,136417.08,4.333333333333333,1,59.0,0,1,0,1,15,0,10,10,7,20,10,72,Monitor,40.5,53
ACC-1132,Solace Holdings,Mid-Market,Logistics,North America,2024-12-25,2024-12-25,2026-12-25,monthly,1660.09,43,17,0,1,1,1,1,1,6,0,2026-05-22,3.7,0,523,39.53488372093023,1660.09,0.8333333333333334,1,207.0,0,0,0,1,15,0,10,7,10,5,20,67,At Risk,40.5,54
ACC-1334,Solace Networks,Enterprise,FinServ,EMEA,2022-06-14,2022-06-14,2027-02-05,annual,672062.98,1049,499,321,305,294,292,291,319,5,2,2026-05-18,2.5,0,1448,47.569113441372735,672062.98,303.6666666666667,-2,249.0,0,1,0,0,0,20,5,7,4,20,20,76,Monitor,40.5,55
ACC-1135,Tundra Solutions,Mid-Market,SaaS,North America,2025-04-25,2025-04-25,2026-12-04,annual,75396.67,147,63,7,4,6,1,0,5,2,1,2026-05-16,3.7,0,402,42.85714285714285,75396.67,3.8333333333333335,-2,186.0,0,1,0,0,15,0,5,10,7,20,20,77,Monitor,40.0,56
ACC-1131,Helix Corp,Mid-Market,SaaS,North America,2025-02-12,2025-02-12,2027-04-08,monthly,1948.2,72,63,3,3,0,0,1,4,7,2,2026-05-28,3.0,0,474,87.5,1948.2,1.8333333333333333,1,311.0,0,1,25,0,0,0,10,4,4,5,20,68,At Risk,40.0,57
ACC-1030,Maple Technologies,Mid-Market,Healthcare,North America,2025-08-15,2025-08-15,2026-06-05,monthly,1979.86,74,36,26,26,25,28,25,25,3,1,2026-05-20,3.7,0,290,48.64864864864865,1979.86,25.83333333333333,-1,4.0,0,1,0,1,15,15,5,10,7,5,5,62,At Risk,40.0,58
ACC-1267,Cedar Holdings,SMB,Media,APAC,2023-08-07,2023-08-07,2026-05-04,annual,7114.92,22,14,8,7,5,4,3,2,2,0,2026-05-14,3.7,0,1029,63.63636363636363,7114.92,4.833333333333333,-6,-28.0,0,0,10,0,15,0,5,10,10,10,5,65,At Risk,40.0,59
ACC-1354,Nimbus Solutions,SMB,Hospitality,APAC,2026-05-11,2026-05-11,2027-05-11,annual,3743.6,15,7,0,0,0,0,0,1,2,1,2026-05-27,3.7,0,21,46.66666666666666,3743.6,0.1666666666666666,1,344.0,0,1,0,1,15,0,10,10,7,10,20,72,Monitor,39.5,60
ACC-1349,Helix Dynamics,SMB,Retail,North America,2023-02-01,2023-02-01,2027-02-25,annual,1762.16,6,5,3,3,3,2,2,2,6,1,2026-05-13,3.0,0,1216,83.33333333333334,1762.16,2.5,-1,269.0,0,1,25,0,0,0,5,7,7,5,20,69,At Risk,39.5,61
ACC-1048,Larkfield Industries,Mid-Market,Hospitality,North America,2023-11-15,2023-11-15,2026-09-08,annual,115904.23,179,71,71,67,65,65,68,73,8,2,2026-05-20,2.7,0,929,39.66480446927375,115904.23,68.16666666666667,2,99.0,0,1,0,0,0,20,10,4,4,20,20,78,Monitor,39.5,62
ACC-1298,Keystone Corp,Mid-Market,FinServ,North America,2022-06-26,2022-06-26,2026-05-06,annual,76050.97,178,72,43,33,27,0,0,0,6,0,2025-12-31,3.7,0,1436,40.44943820224719,76050.97,17.166666666666668,-43,-26.0,0,0,0,1,15,15,0,7,10,20,5,72,Monitor,39.5,63
ACC-1388,Cobalt Group,SMB,FinServ,EMEA,2024-06-04,2024-06-04,2027-04-20,annual,3005.47,12,7,4,3,3,3,3,3,4,1,2026-05-13,3.7,0,727,58.333333333333336,3005.47,3.1666666666666665,-1,323.0,0,1,10,1,15,0,5,7,7,5,20,69,At Risk,39.5,64
ACC-1231,Redwood Supply,Enterprise,Education,North America,2024-10-16,2024-10-16,2026-08-16,monthly,18461.5,490,188,16,17,15,8,18,15,7,0,2026-05-21,3.7,0,593,38.36734693877551,18461.5,14.833333333333334,-1,76.0,0,0,0,1,15,10,5,4,10,15,15,74,Monitor,39.0,65
ACC-1069,Zephyr Supply,SMB,FinServ,North America,2026-05-17,2026-05-17,2027-05-17,monthly,154.13,5,2,0,0,0,0,0,1,2,0,2026-05-28,4.0,0,15,40.0,154.13,0.1666666666666666,1,350.0,0,0,0,0,15,0,10,10,10,5,20,70,Monitor,39.0,66
ACC-1280,Garnet Media,SMB,FinServ,EMEA,2026-05-15,2026-05-15,2027-05-15,monthly,1095.06,26,10,0,0,0,0,0,2,0,0,2026-05-31,3.7,0,17,38.46153846153847,1095.06,0.3333333333333333,2,348.0,0,0,0,1,15,0,10,10,10,5,20,70,Monitor,39.0,67
ACC-1006,Pinnacle Dynamics,SMB,FinServ,North America,2024-09-07,2024-09-07,2026-12-22,annual,1677.03,7,3,2,1,1,2,1,2,1,0,2026-05-21,3.7,0,632,42.85714285714285,1677.03,1.5,0,204.0,0,0,0,1,15,0,10,10,10,5,20,70,Monitor,39.0,68
ACC-1151,Larkfield Holdings,Mid-Market,FinServ,North America,2023-09-26,2023-09-26,2026-06-12,annual,15265.1,41,25,2,3,2,1,2,0,2,0,2026-04-21,3.7,0,979,60.97560975609756,15265.1,1.6666666666666667,-2,11.0,0,0,10,1,15,0,5,10,10,15,5,70,Monitor,39.0,69
ACC-1229,Zephyr Trading,SMB,Education,North America,2026-05-19,2026-05-19,2027-05-19,annual,3522.44,8,4,0,0,0,0,0,1,1,3,2026-05-27,4.1,0,13,50.0,3522.44,0.1666666666666666,1,352.0,0,1,10,0,15,0,10,10,0,5,20,70,Monitor,39.0,70
ACC-1174,Pioneer Works,SMB,Media,North America,2024-09-10,2024-09-10,2026-07-21,annual,4038.94,16,12,7,6,5,4,3,1,3,2,2026-05-23,3.5,0,629,75.0,4038.94,4.333333333333333,-6,50.0,0,1,20,0,10,0,5,10,4,10,10,69,At Risk,39.0,71
ACC-1217,Maple Industries,SMB,Construction,EMEA,2024-09-17,2024-09-17,2026-05-01,monthly,897.84,39,19,11,12,11,12,11,11,1,0,2026-05-26,3.7,0,622,48.71794871794872,897.84,11.333333333333334,0,-31.0,0,0,0,1,15,10,10,10,10,5,5,65,At Risk,38.5,72
ACC-1052,Redwood Health,Mid-Market,Hospitality,North America,2022-06-05,2022-06-05,2026-03-30,annual,31608.87,74,38,22,23,22,0,0,0,5,2,2026-02-04,4.8,0,1457,51.35135135135135,31608.87,11.166666666666666,-22,-63.0,0,1,10,0,20,10,0,7,4,15,5,71,Monitor,38.5,73
ACC-1304,Atlas Supply,SMB,Construction,North America,2025-10-15,2025-10-15,2027-01-05,monthly,839.6,19,12,3,4,4,5,5,5,9,1,2026-05-27,3.7,0,229,63.1578947368421,839.6,4.333333333333333,2,218.0,0,1,10,1,15,0,10,4,7,5,20,71,Monitor,38.5,74
ACC-1238,Vista Industries,Enterprise,FinServ,North America,2025-01-16,2025-01-16,2027-02-19,monthly,34449.08,696,272,197,177,144,120,90,47,5,3,2026-05-15,3.9,0,501,39.08045977011494,34449.08,129.16666666666666,-150,263.0,0,1,0,0,15,20,0,7,0,15,20,77,Monitor,38.5,75
ACC-1047,Beacon Health,Mid-Market,Education,EMEA,2023-10-21,2023-10-21,2026-02-22,monthly,5636.48,189,120,48,58,66,0,0,0,7,0,2025-09-16,3.7,0,954,63.49206349206349,5636.48,28.666666666666668,-48,-99.0,0,0,10,1,15,15,0,4,10,10,5,69,At Risk,38.0,76
ACC-1241,Nimbus Group,SMB,Hospitality,APAC,2024-05-18,2024-05-18,2027-03-16,annual,3544.04,12,5,3,3,2,2,1,1,3,0,2026-05-21,4.8,0,744,41.66666666666667,3544.04,2.0,-2,288.0,0,0,0,0,20,0,5,10,10,10,20,75,Monitor,38.0,77
ACC-1292,Helix Works,SMB,Hospitality,APAC,2022-05-05,2022-05-05,2026-12-29,annual,2764.34,7,5,0,0,0,0,0,0,4,0,2026-03-24,2.6,0,1488,71.42857142857143,2764.34,0.0,0,211.0,0,0,20,0,0,0,10,7,10,5,20,72,Monitor,38.0,78
ACC-1035,Ember Industries,Mid-Market,Hospitality,North America,2023-05-13,2023-05-13,2027-03-07,monthly,4995.0,95,41,1,1,0,2,2,1,2,0,2026-05-14,3.7,0,1115,43.15789473684211,4995.0,1.1666666666666667,0,279.0,0,0,0,1,15,0,10,10,10,10,20,75,Monitor,38.0,79
ACC-1253,Quantum Solutions,SMB,Hospitality,North America,2023-08-05,2023-08-05,2027-01-28,annual,8368.53,36,21,21,20,20,21,19,20,10,3,2026-05-21,3.7,0,1031,58.333333333333336,8368.53,20.166666666666668,-1,241.0,1,1,10,1,15,15,5,0,0,10,20,75,Monitor,38.0,80
ACC-1273,Juniper Group,Mid-Market,Retail,North America,2022-05-20,2022-05-20,2026-08-26,annual,39241.61,59,39,21,18,15,12,8,5,5,2,2026-05-22,3.7,0,1473,66.10169491525424,39241.61,13.166666666666666,-16,86.0,0,1,10,1,15,10,0,7,4,15,15,76,Monitor,38.0,81
ACC-1225,Tundra Group,SMB,FinServ,North America,2026-04-05,2026-04-05,2026-08-14,annual,15084.17,39,14,7,8,8,10,10,11,7,1,2026-05-23,3.1,0,57,35.8974358974359,15084.17,9.0,4,74.0,0,1,0,0,10,10,15,4,7,15,15,76,Monitor,38.0,82
ACC-1366,Beacon Dynamics,Mid-Market,SaaS,EMEA,2026-04-16,2026-04-16,2026-12-17,annual,135945.98,189,85,80,61,58,48,30,19,6,2,2026-05-16,3.7,0,46,44.97354497354497,135945.98,49.333333333333336,-61,199.0,0,1,0,1,15,15,0,7,4,20,20,81,Monitor,38.0,83
ACC-1245,Larkfield Media,SMB,Hospitality,APAC,2022-10-29,2022-10-29,2027-05-17,annual,7868.98,15,6,4,4,5,5,4,4,2,0,2026-05-30,3.7,0,1311,40.0,7868.98,4.333333333333333,0,350.0,0,0,0,1,15,0,10,10,10,10,20,75,Monitor,38.0,84
ACC-1191,Vertex Logistics,Mid-Market,Media,North America,2025-06-28,2025-06-28,2026-11-04,monthly,3911.16,100,44,26,22,20,16,11,6,2,0,2026-05-30,3.7,0,338,44.0,3911.16,16.833333333333332,-20,156.0,0,0,0,1,15,10,0,10,10,10,20,75,Monitor,38.0,85
ACC-1170,Pinnacle Partners,SMB,Manufacturing,EMEA,2023-03-08,2023-03-08,2025-12-31,annual,7358.39,15,9,0,0,0,0,0,0,0,0,2026-03-28,3.7,0,1181,60.0,7358.39,0.0,0,-152.0,0,0,10,1,15,0,10,10,10,10,5,70,Monitor,37.5,86
ACC-1403,Orion Works,Mid-Market,Construction,EMEA,2023-04-11,2023-04-11,2026-03-23,monthly,4362.42,112,78,3,4,0,0,0,0,3,0,2025-12-14,3.4,0,1147,69.64285714285714,4362.42,1.1666666666666667,-3,-70.0,0,0,20,0,10,0,5,10,10,10,5,70,Monitor,37.5,87
